,0
414,3015.0
415,2958.0
416,2953.0
417,2838.0
418,2680.0
419,2664.0
420,2539.0
421,2450.0
422,2428.0
423,2334.0
424,2266.0
425,2262.0
426,2169.0
427,2102.0
428,2081.0
429,1998.0
430,1979.0
431,1895.0
432,1920.0
433,1836.0
434,1748.0
435,1775.0
436,1709.0
437,1742.0
438,1669.0
439,1706.0
440,1629.0
441,1598.0
442,1596.0
443,1550.0
444,1567.0
445,1517.0
446,1560.0
447,1496.0
448,1535.0
449,1466.0
450,1493.0
451,1432.0
452,1452.0
453,1401.0
454,1429.0
455,1386.0
456,1415.0
457,1379.0
458,1399.0
459,1399.0
460,1348.0
461,1329.0
462,1374.0
463,1341.0
464,1389.0
465,1350.0
466,1419.0
467,1365.0
468,1414.0
469,1367.0
470,1401.0
471,1360.0
472,1392.0
473,1352.0
474,1372.0
475,1411.0
476,1339.0
477,1374.0
478,1301.0
479,1337.0
480,1286.0
481,1311.0
482,1259.0
483,1286.0
484,1337.0
485,1271.0
486,1320.0
487,1254.0
488,1288.0
489,1248.0
490,1283.0
491,1254.0
492,1287.0
493,1270.0
494,1269.0
495,1317.0
496,1254.0
497,1286.0
498,1253.0
499,1279.0
500,1341.0
501,1295.0
502,1344.0
503,1304.0
504,1354.0
505,1417.0
506,1378.0
507,1425.0
508,1385.0
509,1307.0
510,1303.0
511,1310.0
512,1265.0
513,1155.0
514,1088.0
515,1042.0
516,1007.0
517,937.0
518,869.0
519,839.0
520,818.0
521,846.0
522,815.0
523,773.0
524,801.0
525,795.0
526,751.0
527,853.0
528,832.0
529,802.0
530,755.0
531,696.0
532,638.0
533,571.0
534,532.0
535,503.0
536,476.0
537,449.0
538,422.0
539,428.0
540,411.0
541,404.0
542,395.0
543,391.0
544,400.0
545,414.0
546,420.0
547,418.0
548,434.0
549,440.0
550,435.0
551,457.0
552,510.0
553,549.0
554,612.0
555,763.0
556,814.0
557,833.0
558,937.0
559,927.0
560,908.0
561,949.0
562,955.0
563,924.0
564,901.0
565,897.0
566,954.0
567,924.0
568,909.0
569,965.0
570,933.0
571,965.0
572,978.0
573,950.0
574,1009.0
575,1017.0
576,991.0
577,1067.0
578,1026.0
579,1002.0
580,1049.0
581,1008.0
582,991.0
583,1049.0
584,1019.0
585,1007.0
586,1057.0
587,1022.0
588,1096.0
589,1074.0
590,1055.0
591,1129.0
592,1103.0
593,1148.0
594,1159.0
595,1139.0
596,1189.0
597,1201.0
598,1165.0
599,1162.0
600,1212.0
601,1190.0
602,1203.0
603,1326.0
604,1505.0
605,1584.0
606,1619.0
607,1579.0
608,1506.0
609,1454.0
610,1426.0
611,1407.0
612,1477.0
613,1453.0
614,1444.0
615,1465.0
616,1528.0
617,1596.0
618,1536.0
619,1556.0
620,1630.0
621,1632.0
622,1641.0
623,1580.0
624,1508.0
625,1419.0
626,1329.0
627,1329.0
628,1439.0
629,1439.0
630,1418.0
631,1440.0
632,1469.0
633,1491.0
634,1499.0
635,1488.0
636,1482.0
637,1488.0
638,1506.0
639,1559.0
640,1530.0
641,1517.0
642,1585.0
643,1538.0
644,1520.0
645,1562.0
646,1519.0
647,1504.0
648,1528.0
649,1503.0
650,1501.0
651,1517.0
652,1465.0
653,1483.0
654,1435.0
655,1466.0
656,1464.0
657,1366.0
658,1467.0
659,1404.0
660,1429.0
661,1359.0
662,1312.0
663,1278.0
664,1261.0
665,1348.0
666,1366.0
667,1333.0
668,1318.0
669,1177.0
670,1110.0
671,1067.0
672,971.0
673,885.0
674,860.0
675,841.0
676,813.0
677,792.9999999999999
678,658.0
679,663.0
680,671.0
681,685.0
682,660.0
683,628.0
684,612.0
685,634.0
686,670.0
687,672.0
688,683.0
689,758.0
690,753.0
691,749.0
692,878.0
693,884.0
694,873.0
695,995.0
696,988.0
697,995.0
698,1074.0
699,997.0000000000001
700,929.0000000000001
701,914.0
702,948.0
703,941.0
704,941.0
705,938.0
706,956.0
707,997.0000000000001
708,1060.0
709,1116.0
710,1129.0
711,1268.0
712,1306.0
713,1334.0
714,1356.0
715,1391.0
716,1437.0
717,1608.0
718,1997.0
719,2069.0
720,1938.0
721,1855.0
722,1805.0
723,1817.0
724,1814.0
725,1697.0
726,1656.0
727,1707.0
728,1731.0
729,1766.0
730,1684.0
731,1655.0
732,1707.0
733,1656.0
734,1623.0
735,1643.0
736,1670.0
737,1859.0
738,1861.0
739,1884.0
740,1787.0
741,1669.0
742,1662.0
743,1565.0
744,1392.0
745,1522.0
746,1578.0
747,1623.0
748,1587.0
749,1473.0
750,1443.0
751,1364.0
752,1284.0
753,1200.0
754,1212.0
755,1337.0
756,1372.0
757,1306.0
758,1217.0
759,1118.0
760,1212.0
761,1168.0
762,1239.0
763,1237.0
764,1354.0
765,1451.0
766,1411.0
767,1452.0
768,1334.0
769,1368.0
770,1263.0
771,1297.0
772,1231.0
773,1321.0
774,1420.0
775,1375.0
776,1412.0
777,1299.0
778,1301.0
779,1193.0
780,1254.0
781,1703.0
782,2427.0
783,2850.0
784,3149.0
785,3009.0
786,2943.0
787,2527.0
788,2413.0
789,2137.0
790,2091.0
791,2020.0
792,2144.0
793,2355.0
794,2578.0
795,2577.0
796,2328.0
797,2239.0
798,1984.0
799,1769.0
800,1817.0
801,1719.0
802,1730.0
803,1698.0
804,1663.0
805,1660.0
806,1680.0
807,1632.0
808,1584.0
809,1718.0
810,1732.0
811,1733.0
812,1820.0
813,1800.0
814,1852.0
815,1892.0
816,1960.0
817,1947.0
818,1902.0
819,1901.0
820,1960.0
821,1938.0
822,1857.0
823,1688.0
824,1567.0
825,1443.0
826,1335.0
827,1278.0
828,1223.0
829,1061.0
830,969.0
831,902.0
832,887.0
833,896.0
834,889.0
835,877.0
836,868.0
837,986.0
838,1077.0
839,1069.0
840,1083.0
841,1157.0
842,1146.0
843,1202.0
844,1197.0
845,1241.0
846,1262.0
847,1347.0
848,1425.0
849,1374.0
850,1450.0
851,1394.0
852,1295.0
853,1328.0
854,1264.0
855,1168.0
856,1131.0
857,1133.0
858,1079.0
859,990.0
860,966.0
861,916.0
862,860.9999999999999
863,725.0
864,808.0
865,826.0
866,811.0
867,771.0
868,737.0
869,802.0
870,841.0
871,948.0
872,1189.0
873,1332.0
874,1400.0
875,1533.0
876,1520.0
877,1397.0
878,1542.0
879,1503.0
880,1573.0
881,1537.0
882,1665.0
883,1729.0
884,1766.0
885,1821.0
886,1703.0
887,1710.0
888,1564.0
889,1576.0
890,1502.0
891,1455.0
892,1544.0
893,1532.0
894,1479.0
895,1435.0
896,1398.0
897,1425.0
898,1370.0
899,1330.0
900,1331.0
901,1443.0
902,1482.0
903,1564.0
904,1583.0
905,1566.0
906,1567.0
907,1596.0
908,1671.0
909,1702.0
910,1949.0
911,2124.0
912,2135.0
913,2050.0
914,1865.0
915,1843.0
916,2020.0
917,2166.0
918,2234.0
919,2273.0
920,2166.0
921,2051.0
922,1953.0
923,1904.0
924,1863.0
925,1917.0
926,1900.0
927,1852.0
928,1812.0
929,1862.0
930,1804.0
931,1773.0
932,1811.0
933,1738.0
934,1704.0
935,1728.0
936,1696.0
937,1720.0
938,1737.0
939,1695.0
940,1751.0
941,1674.0
942,1713.0
943,1638.0
944,1580.0
945,1586.0
946,1509.0
947,1558.0
948,1497.0
949,1505.0
950,1441.0
951,1481.0
952,1430.0
953,1447.0
954,1391.0
955,1411.0
956,1356.0
957,1412.0
958,1348.0
959,1404.0
960,1324.0
961,1374.0
962,1304.0
963,1357.0
964,1284.0
965,1342.0
966,1288.0
967,1247.0
968,1275.0
969,1239.0
970,1267.0
971,1234.0
972,1263.0
973,1222.0
974,1252.0
975,1202.0
976,1234.0
977,1188.0
978,1231.0
979,1198.0
980,1260.0
981,1223.0
982,1269.0
983,1282.0
984,1290.0
985,1520.0
986,1891.0
987,2165.0
988,2061.0
989,1915.0
990,1857.0
991,1639.0
992,1723.0
993,1651.0
994,1700.0
995,1675.0
996,1666.0
997,1732.0
998,1682.0
999,1645.0
1000,1660.0
1001,1694.0
1002,1672.0
1003,1671.0
1004,1649.0
1005,1631.0
1006,1632.0
1007,1638.0
1008,1650.0
1009,1606.0
1010,1551.0
1011,1540.0
1012,1555.0
1013,1498.0
1014,1396.0
1015,1296.0
1016,1300.0
1017,1284.0
1018,1285.0
1019,1305.0
1020,1330.0
1021,1385.0
1022,1414.0
1023,1550.0
1024,1566.0
1025,1641.0
1026,1684.0
1027,1653.0
1028,1627.0
1029,1735.0
1030,1737.0
1031,1626.0
1032,1744.0
1033,1691.0
1034,1695.0
1035,1723.0
1036,1674.0
1037,1727.0
1038,1679.0
1039,1668.0
1040,1703.0
1041,1662.0
1042,1719.0
1043,1675.0
1044,1659.0
1045,1675.0
1046,1665.0
1047,1701.0
1048,1627.0
1049,1661.0
1050,1565.0
1051,1605.0
1052,1549.0
1053,1599.0
1054,1524.0
1055,1541.0
1056,1521.0
1057,1555.0
1058,1518.0
1059,1464.0
1060,1437.0
1061,1428.0
1062,1408.0
1063,1364.0
1064,1246.0
1065,1169.0
1066,1119.0
1067,1063.0
1068,1007.0
1069,973.0
1070,960.0
1071,948.0
1072,925.0
1073,909.0
1074,887.0
1075,845.0
1076,809.0
1077,840.0
1078,847.0
1079,872.0
1080,860.9999999999999
1081,844.0
1082,840.0
1083,789.0
1084,740.0
1085,746.0
1086,811.0
1087,801.0
1088,798.0
1089,827.0
1090,900.0
1091,890.0
1092,938.0
1093,983.0
1094,923.0
1095,890.0
1096,928.0
1097,892.0
1098,882.0
1099,873.0
1100,857.0
1101,840.0
1102,961.0
1103,1428.0
1104,1476.0
1105,1330.0
1106,1215.0
